marker,x,y,player
1.0,0.0,0.0,red
2.0,-1.0,-1.0,black
3.0,-2.0,-2.0,red
4.0,-2.0,0.0,black
5.0,0.0,-2.0,red
6.0,-1.0,1.0,black
7.0,0.0,2.0,red
8.0,-1.0,-2.0,black
9.0,-1.0,-3.0,red
10.0,-3.0,0.0,black
11.0,2.0,0.0,red
12.0,1.0,-1.0,black
13.0,1.0,1.0,red
14.0,3.0,-1.0,black
15.0,0.0,-1.0,red
16.0,0.0,1.0,black
17.0,0.0,-4.0,red
18.0,0.0,-3.0,black
19.0,1.0,-5.0,red
20.0,-3.0,-1.0,black
21.0,2.0,-6.0,red
